player_name,mlb_id,season,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
David Price,456034,2008,Tampa Bay Rays,22,5,1,15,16,4,1,0,1,12,4,0,9,1,.176,51,.246,.255,.501,0,0,.---,.---,1,236,1.93,14.0,0,0,0,0,1,0,3,0.93,57,42,5,0,0,149,.630,1,0,0,0,13,0.94,.---,16.86,0,3.00,7.71,2.57,5.79,2.57,0.64,6,2,0,0,1
David Price,456034,2009,Tampa Bay Rays,23,23,23,141,137,72,26,0,17,102,54,0,119,4,.241,494,.319,.397,.716,6,8,.571,.429,2,2280,4.42,128.1,10,7,0,0,0,0,63,1.35,557,385,23,0,0,1432,.630,4,0,2,3,196,1.03,.588,17.77,0,1.89,7.15,3.79,8.35,5.05,1.19,0,0,0,3,2
David Price,456034,2010,Tampa Bay Rays,24,32,31,209,210,71,33,7,15,188,79,1,170,5,.221,770,.296,.340,.636,7,13,.650,.350,18,3355,2.72,208.2,19,6,0,0,0,0,63,1.19,861,626,32,2,1,2195,.650,5,3,5,2,262,1.00,.760,16.08,0,2.38,8.11,3.41,7.33,3.06,0.65,0,0,0,4,3
David Price,456034,2011,Tampa Bay Rays,25,34,34,215,221,93,43,4,22,218,63,5,192,9,.230,835,.289,.370,.659,5,20,.800,.200,17,3696,3.49,224.1,12,13,0,0,0,0,87,1.14,918,673,34,0,0,2355,.640,9,0,2,1,309,0.97,.480,16.48,0,3.46,8.75,2.53,7.70,3.73,0.88,0,0,0,4,7
David Price,456034,2012,Tampa Bay Rays,26,31,31,232,162,63,23,0,16,205,59,2,173,5,.226,767,.284,.318,.602,10,11,.524,.476,20,3332,2.56,211.0,20,5,0,0,0,0,60,1.10,836,633,31,2,1,2167,.650,5,1,8,1,244,1.43,.800,15.79,0,3.47,8.74,2.52,7.38,2.69,0.68,0,0,0,2,3
David Price,456034,2013,Tampa Bay Rays,27,27,27,193,188,78,40,1,16,151,27,0,178,3,.252,707,.281,.379,.660,10,11,.524,.476,19,2707,3.33,186.2,10,8,0,0,0,0,69,1.10,740,560,27,4,0,1862,.690,3,0,6,5,268,1.03,.556,14.50,0,5.59,7.28,1.30,8.58,3.76,0.77,0,0,0,1,2
David Price,456034,2014,Tampa Bay Rays,28,23,23,141,175,68,28,2,20,189,23,1,156,5,.238,655,.268,.379,.647,3,8,.727,.273,9,2564,3.11,170.2,11,8,0,0,0,0,59,1.05,689,512,23,2,0,1796,.700,5,0,2,2,248,0.81,.579,15.02,0,8.22,9.97,1.21,8.23,3.59,1.05,0,0,0,3,3
David Price,456034,2014,Detroit Tigers,28,11,11,70,79,32,19,2,5,82,15,0,74,0,.243,304,.279,.368,.647,1,4,.800,.200,3,1166,3.59,77.2,4,4,0,0,0,0,31,1.15,320,233,11,1,0,804,.690,0,0,0,0,112,0.89,.500,15.01,0,5.47,9.50,1.74,8.58,3.71,0.58,0,0,0,1,0
David Price,456034,2014,,28,34,34,211,254,100,47,4,25,271,38,1,230,5,.240,959,.272,.375,.647,4,12,.750,.250,12,3730,3.26,248.1,15,12,0,0,0,0,90,1.08,1009,745,34,3,0,2600,.700,5,0,2,2,360,0.83,.556,15.02,0,7.13,9.82,1.38,8.34,3.62,0.91,0,0,0,4,3
David Price,456034,2015,Detroit Tigers,29,21,21,133,156,50,26,4,13,138,29,2,133,3,.241,551,.281,.374,.655,2,0,.000,1.000,13,2221,2.53,146.0,9,4,0,0,0,0,41,1.11,592,438,21,3,1,1501,.680,3,0,3,1,206,0.85,.692,15.21,0,4.76,8.51,1.79,8.20,3.08,0.80,0,0,0,4,5
David Price,456034,2015,Toronto Blue Jays,29,11,11,65,69,20,14,0,4,87,18,0,57,0,.207,275,.253,.302,.555,0,0,.---,.---,4,1167,2.30,74.1,9,1,0,0,0,0,19,1.01,296,223,11,0,0,821,.700,0,0,1,0,83,0.94,.900,15.70,0,4.83,10.53,2.18,6.90,2.42,0.48,0,0,0,0,3
David Price,456034,2015,,29,32,32,198,225,70,40,4,17,225,47,2,190,3,.230,826,.271,.350,.621,2,0,.000,1.000,17,3388,2.45,220.1,18,5,0,0,0,0,60,1.08,888,661,32,3,1,2322,.690,3,0,4,1,289,0.88,.783,15.38,0,4.79,9.19,1.92,7.76,2.86,0.69,0,0,0,4,8
David Price,456034,2016,Boston Red Sox,30,35,35,227,212,106,40,6,30,228,50,1,227,7,.258,879,.301,.420,.721,2,1,.333,.667,19,3595,3.99,230.0,17,9,0,0,0,0,102,1.20,951,690,35,2,0,2437,.680,7,0,4,0,369,1.07,.654,15.63,0,4.56,8.92,1.96,8.88,4.15,1.17,0,0,0,8,7
David Price,456034,2017,Boston Red Sox,31,16,11,68,80,30,14,0,8,76,24,0,65,4,.226,287,.293,.359,.652,2,2,.500,.500,2,1253,3.38,74.2,6,3,0,0,1,0,28,1.19,317,224,16,0,0,818,.650,4,0,2,0,103,0.85,.667,16.78,1,3.17,9.16,2.89,7.83,3.62,0.96,2,0,0,0,2
David Price,456034,2018,Boston Red Sox,32,30,30,146,188,75,28,4,25,177,50,0,151,10,.230,657,.293,.399,.692,3,5,.625,.375,10,2716,3.58,176.0,16,7,0,0,0,0,70,1.14,722,528,30,1,0,1776,.650,10,0,1,2,262,0.78,.696,15.43,0,3.54,9.05,2.56,7.72,3.84,1.28,0,0,0,1,4
David Price,456034,2019,Boston Red Sox,33,22,22,93,93,57,28,2,15,128,32,0,109,3,.258,422,.314,.441,.755,2,3,.600,.400,7,1862,4.28,107.1,7,5,0,0,0,0,51,1.31,458,322,22,0,0,1220,.660,3,1,3,0,186,1.00,.583,17.35,0,4.00,10.73,2.68,9.14,4.78,1.26,0,0,0,0,1
David Price,456034,2021,Los Angeles Dodgers,35,39,11,92,66,35,19,1,8,58,26,2,79,4,.272,290,.339,.428,.767,2,1,.333,.667,8,1178,4.03,73.2,5,2,1,1,2,0,33,1.43,326,221,39,0,0,788,.670,4,0,1,0,124,1.39,.714,15.99,5,2.23,7.09,3.18,9.65,4.28,0.98,4,1,1,3,2
David Price,456034,2022,Los Angeles Dodgers,36,40,0,53,30,11,10,0,6,37,9,2,38,0,.242,157,.283,.420,.703,0,2,1.000,.000,3,596,2.45,40.1,2,0,2,4,4,2,11,1.17,167,121,40,0,0,403,.680,0,0,0,0,66,1.77,1.000,14.78,13,4.11,8.26,2.01,8.48,2.45,1.34,12,4,0,1,0
Jake Arrieta,453562,2010,Baltimore Orioles,24,18,18,113,126,57,24,2,9,52,48,3,106,4,.271,391,.355,.412,.767,1,11,.917,.083,10,1718,4.66,100.1,6,6,0,0,0,0,52,1.53,449,301,18,0,0,1037,.600,4,0,5,2,161,0.90,.500,17.12,0,1.08,4.66,4.31,9.51,5.11,0.81,0,0,0,4,2
