player_name,mlb_id,season,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Jamie Moyer,119469,1986,Chicago Cubs,23,16,16,36,24,52,18,0,10,45,42,1,107,3,0.311,344,0.388,0.451,0.839,5,10,0.667,0.333,13,611,5.05,87.1,7,4,0,0,0,0,49,1.71,395,262,16,1,1,440,0.72,3,3,3,2,155,1.5,0.636,7.0,0,1.07,4.64,4.33,11.03,5.36,1.03,0,0,0,3,3
Jamie Moyer,119469,1987,Chicago Cubs,24,35,33,87,83,127,28,5,28,147,97,9,210,5,0.271,776,0.353,0.428,0.781,12,25,0.676,0.324,14,1543,5.1,201.0,12,15,0,0,0,0,114,1.53,899,603,35,1,0,1123,0.73,5,2,11,0,332,1.05,0.444,7.68,1,1.52,6.58,4.34,9.4,5.69,1.25,3,3,0,14,7
Jamie Moyer,119469,1988,Chicago Cubs,25,34,30,93,92,84,33,5,20,121,55,7,212,4,0.272,778,0.322,0.405,0.727,14,26,0.65,0.35,12,2922,3.48,202.0,9,15,0,0,0,0,78,1.32,855,606,34,3,1,1833,0.63,4,0,4,0,315,1.01,0.375,14.47,1,2.2,5.39,2.45,9.45,3.74,0.89,3,1,0,14,4
Jamie Moyer,119469,1989,Texas Rangers,26,15,15,77,71,51,14,1,10,44,33,0,84,2,0.283,297,0.354,0.438,0.792,4,6,0.6,0.4,10,1192,4.86,76.0,4,9,0,0,0,0,41,1.54,337,228,15,1,0,693,0.58,2,0,1,2,130,1.08,0.308,15.68,0,1.33,5.21,3.91,9.95,6.04,1.18,0,0,0,1,4
Jamie Moyer,119469,1990,Texas Rangers,27,33,10,118,113,59,33,3,6,58,39,4,115,4,0.29,396,0.354,0.434,0.788,7,9,0.563,0.438,15,1648,4.66,102.1,2,6,0,0,0,0,53,1.5,447,307,33,1,0,992,0.6,4,0,1,4,172,1.04,0.25,16.1,6,1.49,5.1,3.43,10.11,5.19,0.53,23,6,0,1,7
Jamie Moyer,119469,1991,St. Louis Cardinals,28,8,7,32,35,21,8,1,5,20,16,0,38,1,0.319,119,0.399,0.529,0.928,3,8,0.727,0.273,2,519,5.74,31.1,0,5,0,0,0,0,20,1.72,142,94,8,0,0,307,0.59,1,1,2,0,63,0.91,0.0,16.56,1,1.25,5.74,4.6,10.91,6.03,1.44,0,0,0,4,2
Jamie Moyer,119469,1993,Baltimore Orioles,30,25,25,190,152,63,30,1,11,90,38,2,154,6,0.265,582,0.316,0.376,0.692,6,5,0.455,0.545,13,2161,3.43,152.0,12,9,0,0,0,0,58,1.26,630,456,25,3,1,1386,0.64,6,1,1,1,219,1.25,0.571,14.22,0,2.37,5.33,2.25,9.12,3.73,0.65,0,0,0,3,1
Jamie Moyer,119469,1994,Baltimore Orioles,31,23,23,174,172,81,37,2,23,87,38,3,158,2,0.271,584,0.316,0.459,0.775,3,7,0.7,0.3,10,2343,4.77,149.0,5,7,0,0,0,0,79,1.32,631,447,23,0,0,1465,0.63,2,0,1,0,268,1.01,0.417,15.72,0,2.29,5.26,2.3,9.54,4.89,1.39,0,0,0,5,2
Jamie Moyer,119469,1995,Baltimore Orioles,32,27,18,145,123,70,19,2,18,65,30,0,117,3,0.265,442,0.314,0.439,0.753,3,11,0.786,0.214,10,1663,5.21,115.2,8,6,0,0,0,0,67,1.27,483,347,27,0,0,1067,0.64,3,0,0,2,194,1.18,0.571,14.38,3,2.17,5.06,2.33,9.1,5.45,1.4,5,3,0,5,3
Jamie Moyer,119469,1996,Boston Red Sox,33,23,10,115,101,50,13,2,14,50,27,2,111,1,0.3,370,0.347,0.459,0.806,1,11,0.917,0.083,5,1414,4.5,90.0,7,1,0,0,0,0,45,1.53,405,270,23,0,0,866,0.61,1,1,2,1,170,1.14,0.875,15.71,1,1.85,5.0,2.7,11.1,5.0,1.4,11,7,0,4,3
