player_name,mlb_id,season,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Clayton Kershaw,477132,2008,Los Angeles Dodgers,20,22,21,125,83,51,22,2,11,100,52,3,109,1,.265,411,.347,.409,.756,2,5,.714,.286,12,1859,4.26,107.2,5,5,0,0,1,0,51,1.50,470,323,22,0,0,1130,.610,1,0,7,2,168,1.51,.500,17.27,0,1.92,8.36,4.35,9.11,4.26,0.92,0,0,0,3,3
Clayton Kershaw,477132,2009,Los Angeles Dodgers,21,31,30,139,166,55,28,0,7,185,91,4,119,1,.200,596,.306,.282,.588,7,6,.462,.538,12,3030,2.79,171.0,8,8,0,0,0,0,53,1.23,701,513,31,0,0,1851,.610,1,2,11,7,168,0.84,.500,17.72,1,2.03,9.74,4.79,6.26,2.89,0.37,0,0,0,11,2
Clayton Kershaw,477132,2010,Los Angeles Dodgers,22,32,32,182,206,73,32,4,13,212,81,9,160,7,.214,748,.295,.320,.615,8,8,.500,.500,9,3390,2.91,204.1,13,10,0,0,0,0,66,1.18,848,613,32,1,1,2135,.630,7,2,5,8,239,0.88,.565,16.59,0,2.62,9.34,3.57,7.05,3.22,0.57,0,0,0,8,4
Clayton Kershaw,477132,2011,Los Angeles Dodgers,23,33,33,211,222,66,30,1,15,248,54,2,174,3,.207,842,.256,.298,.554,9,14,.609,.391,14,3469,2.28,233.1,21,5,0,0,0,0,59,0.98,912,700,33,5,2,2264,.650,3,1,5,9,251,0.95,.808,14.87,0,4.59,9.57,2.08,6.71,2.55,0.58,0,0,0,11,2
Clayton Kershaw,477132,2012,Los Angeles Dodgers,24,33,33,238,195,70,38,3,16,229,63,5,170,5,.210,810,.270,.323,.593,12,8,.400,.600,17,3468,2.53,227.2,14,9,0,0,0,0,64,1.02,901,683,33,2,2,2234,.640,5,2,6,11,262,1.22,.609,15.23,0,3.63,9.05,2.49,6.72,2.77,0.63,0,0,1,18,4
Clayton Kershaw,477132,2013,Los Angeles Dodgers,25,33,33,247,208,55,30,3,11,232,52,2,164,3,.195,840,.244,.277,.521,4,5,.556,.444,20,3428,1.83,236.0,16,9,0,0,0,0,48,0.92,908,708,33,3,2,2286,.670,3,2,12,7,233,1.19,.640,14.53,0,4.46,8.85,1.98,6.25,2.10,0.42,0,0,2,8,3
Clayton Kershaw,477132,2014,Los Angeles Dodgers,26,27,27,204,134,42,29,5,9,239,31,0,139,2,.196,709,.231,.289,.520,4,5,.556,.444,15,2722,1.77,198.1,21,3,0,0,0,0,39,0.86,749,595,27,6,2,1887,.690,2,2,7,4,205,1.52,.875,13.72,0,7.71,10.85,1.41,6.31,1.91,0.41,0,0,0,6,1
Clayton Kershaw,477132,2015,Los Angeles Dodgers,27,33,33,218,161,62,26,2,15,301,42,1,163,5,.194,839,.237,.284,.521,9,7,.438,.563,8,3392,2.13,232.2,16,7,0,0,0,0,55,0.88,890,698,33,4,3,2303,.680,5,3,9,9,238,1.35,.696,14.58,0,7.17,11.64,1.62,6.31,2.40,0.58,0,0,0,4,0
Clayton Kershaw,477132,2016,Los Angeles Dodgers,28,21,21,148,114,31,18,1,8,172,11,1,97,2,.184,526,.204,.268,.472,1,1,.500,.500,9,2062,1.69,149.0,12,4,0,0,0,0,28,0.72,544,447,21,3,3,1426,.690,2,3,5,0,141,1.30,.750,13.84,0,15.64,10.39,0.66,5.86,1.87,0.48,0,0,0,4,1
Clayton Kershaw,477132,2017,Los Angeles Dodgers,29,27,27,173,137,49,20,2,23,202,30,0,136,0,.212,641,.246,.357,.603,2,3,.600,.400,15,2521,2.31,175.0,18,4,0,0,0,0,45,0.95,679,525,27,1,0,1729,.690,0,2,4,2,229,1.26,.818,14.41,0,6.73,10.39,1.54,6.99,2.52,1.18,0,0,1,4,3
